Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"02/01/2024 11:44:46",42.8497,42.52,5.2,0.51,"MW",4.1,"Tsageri, Racha-Lechkhumi-Kvemo Svaneti (Gürcistan) - [103.73 km] Posof (Ardahan)",614913
"01/01/2024 16:28:18",39.9811,39.5553,8.7,0.49,"MW",4.2,"Pülümür (Tunceli)",614759
"31/12/2023 20:06:03",43.9847,37.5328,2.52,0.45,"MW",4.5,"Yüksekova (Hakkari)",614683
"31/12/2023 19:37:50",44.0081,37.3972,3.62,0.09,"MW",4.4,"Yüksekova (Hakkari)",614678
"30/12/2023 16:26:24",39.0192,38.4564,9.36,0.24,"ML",4.2,"Merkez (Elazığ)",614576
"28/12/2023 13:40:34",28.4044,36.3233,57.39,0.44,"ML",4,"Akdeniz - [43.28 km] Marmaris (Muğla)",614322
"28/12/2023 12:34:05",38.1217,38.2664,17.3,0.39,"MW",4.6,"Yeşilyurt (Malatya)",614315
"27/12/2023 16:04:12",33.8236,41.0756,7,0.59,"MW",4.5,"Ilgaz (Çankırı)",614240
"27/12/2023 10:55:12",37.67,38.0411,9.69,0.29,"MW",4.3,"Doğanşehir (Malatya)",614216
"24/12/2023 19:06:58",25.5683,34.4914,7.07,0.77,"MW",4.1,"Akdeniz",613862
"21/12/2023 21:24:33",36.1531,36.3308,9.19,0.25,"MW",4.1,"Antakya (Hatay)",613581
"18/12/2023 23:23:14",39.2872,39.9239,7,0.44,"MW",4.1,"Kelkit (Gümüşhane)",613277
"18/12/2023 01:15:50",39.3175,39.9308,15.03,0.27,"MW",4.3,"Kelkit (Gümüşhane)",613189
"17/12/2023 23:53:52",29.0994,40.7217,11.18,0.2,"MW",4.1,"Marmara Denizi - [08.52 km] Çınarcık (Yalova)",613175
"16/12/2023 20:33:43",28.8678,36.4906,29.62,0.22,"MW",4,"Akdeniz - [21.99 km] Fethiye (Muğla)",613073
"04/12/2023 10:42:20",28.8319,40.4269,8.98,0.47,"MW",5.1,"Marmara Denizi - Gemlik Körfezi - [04.73 km] Mudanya (Bursa)",611620
"01/12/2023 03:18:49",37.61,38.3703,7,0.52,"MW",4.8,"Akçadağ (Malatya)",611237
"23/11/2023 17:49:57",38.571,38.152,6.48,0.3,"MW",4.7,"Battalgazi (Malatya)",610393
"23/11/2023 17:46:08",38.569,38.158,7,0.5,"MW",5.2,"Battalgazi (Malatya)",610392
"20/11/2023 10:36:04",38.777,38.237,7,0.54,"MW",4.5,"Pütürge (Malatya)",610030
"17/11/2023 16:19:29",27.676,36.268,6.22,0.74,"MW",4.1,"Ege Denizi - [49.02 km] Datça (Muğla)",609812
"16/11/2023 01:32:10",38.539,38.188,11.5,0.35,"MW",4,"Battalgazi (Malatya)",609623
"15/11/2023 00:13:11",47.536,38.258,15,0.41,"MW",4.3,"Neer, Erdebil (İran)",609495
"13/11/2023 17:58:05",44.706,39.412,7,0.56,"MW",4.3,"Maku, West Azarbaijan (İran) - [25.97 km] Doğubayazıt (Ağrı)",609423
"13/11/2023 08:28:27",29.944,37.689,13.23,0.5,"MW",4.4,"Yeşilova (Burdur)",609392
"11/11/2023 12:05:32",31.898,36.26,89.75,0.9,"MW",4.2,"Akdeniz - [30.36 km] Alanya (Antalya)",609232
"09/11/2023 05:32:14",36.371,36.622,8.28,0.25,"MW",4.8,"Kırıkhan (Hatay)",608985
"08/11/2023 15:39:41",30.231,37.093,95.4,0.5,"ML",4.5,"Korkuteli (Antalya)",608949
"08/11/2023 10:08:57",48.92,39.491,15,0.74,"ML",4.4,"Salyan (Azerbaycan)",608931
"07/11/2023 23:05:48",27.526,40.471,4.33,0.4,"MW",4.1,"Marmara Denizi - [03.10 km] Marmara (Balıkesir)",608882
"04/11/2023 02:50:19",25.967,39.054,15.73,0.35,"MW",4,"Ege Denizi - [47.99 km] Ayvacık (Çanakkale)",608523
"03/11/2023 09:26:19",22.906,38.523,7,0.46,"ML",5,"Boeotia, Stereá Elláda (Yunanistan)",608458
"03/11/2023 06:55:37",27.217,35.258,11.22,0.46,"MW",4.1,"Akdeniz - [160.78 km] Datça (Muğla)",608439
"30/10/2023 19:25:47",36.404,37.995,7.07,0.52,"MW",4.2,"Göksun (Kahramanmaraş)",608073
"29/10/2023 13:59:08",20.744,38.158,6.91,0.96,"MW",4.2,"Kefallinia, Ionioi Nisoi (Yunanistan)",607969
"29/10/2023 10:41:30",21.016,37.967,6.64,0.95,"MW",4.1,"İyon Denizi",607958
"28/10/2023 18:49:03",32.946,38.906,7.02,0.39,"MW",4,"Kulu (Konya)",607896
"25/10/2023 03:36:18",22.381,35.578,43.9,0.76,"MW",4,"Akdeniz",607461
"24/10/2023 03:39:33",38.685,38.202,7.5,0.26,"MW",4.3,"Pütürge (Malatya)",607361
"23/10/2023 09:05:11",45.304,38.465,7,0.71,"MW",4,"Marand, Doğu Azerbaycan (İran) - [77.15 km] Başkale (Van)",607273
"22/10/2023 11:13:43",22.481,39.031,37.8,0.45,"MW",4,"Fthiotis, Stereá Elláda (Yunanistan)",607154
"21/10/2023 08:05:11",43.525,38.925,12.82,0.56,"MW",4,"Van Gölü - [02.63 km] Tuşba (Van)",607069
"21/10/2023 06:47:56",26.453,35.068,6.4,0.7,"MW",4.2,"Akdeniz - [201.61 km] Datça (Muğla)",607068
